"Motivo_Venta","Areas_Venta","Territorio","Estado"
"Quality",9,9,5
"Manufacturer",5,7,5
"Quality",9,7,5
"Manufacturer",5,4,5
"Quality",9,4,5
"Manufacturer",5,4,5
"Quality",9,4,5
"Manufacturer",5,9,5
"Quality",9,9,5
"Manufacturer",5,8,5
"Quality",9,8,5
"Manufacturer",5,4,5
"Quality",9,4,5
"Manufacturer",5,6,5
"Quality",9,6,5
"Manufacturer",5,4,5
"Quality",9,4,5
"Manufacturer",5,9,5
"Quality",9,9,5
"Manufacturer",5,9,5
"Quality",9,9,5
"Manufacturer",5,7,5
"Quality",9,7,5
"Manufacturer",5,10,5
"Quality",9,10,5
"Manufacturer",5,4,5
"Quality",9,4,5
"Manufacturer",5,1,5
"Quality",9,1,5
"Manufacturer",5,9,5
"Quality",9,9,5
"Manufacturer",5,9,5
"Quality",9,9,5
"Manufacturer",5,9,5
"Quality",9,9,5
"Manufacturer",5,9,5
"Quality",9,9,5
"Manufacturer",5,7,5
"Quality",9,7,5
"Manufacturer",5,4,5
"Quality",9,4,5
"Manufacturer",5,9,5
"Quality",9,9,5
"Manufacturer",5,4,5
"Quality",9,4,5
"Manufacturer",5,4,5
"Quality",9,4,5
"Manufacturer",5,9,5
"Quality",9,9,5
"Manufacturer",5,9,5
"Quality",9,9,5
"Manufacturer",5,8,5
"Quality",9,8,5
"Manufacturer",5,8,5
"Quality",9,8,5
"Manufacturer",5,1,5
"Quality",9,1,5
"Manufacturer",5,4,5
"Quality",9,4,5
"Manufacturer",5,9,5
"Quality",9,9,5
"Manufacturer",5,8,5
"Quality",9,8,5
"Manufacturer",5,4,5
"Quality",9,4,5
"Manufacturer",5,4,5
"Quality",9,4,5
"Manufacturer",5,1,5
"Quality",9,1,5
"Manufacturer",5,9,5
"Quality",9,9,5
"Manufacturer",5,6,5
"Quality",9,6,5
"Manufacturer",5,4,5
"Quality",9,4,5
"Manufacturer",5,4,5
"Quality",9,4,5
"Manufacturer",5,9,5
"Quality",9,9,5
"Manufacturer",5,9,5
"Quality",9,9,5
"Manufacturer",5,9,5
"Quality",9,9,5
"Manufacturer",5,9,5
"Quality",9,9,5
"Manufacturer",5,9,5
"Quality",9,9,5
"Manufacturer",5,9,5
"Quality",9,9,5
"Manufacturer",5,9,5
"Quality",9,9,5
"Manufacturer",5,10,5
"Quality",9,10,5
"Manufacturer",5,1,5
"Quality",9,1,5
"Manufacturer",5,9,5
"Quality",9,9,5
"Manufacturer",5,9,5
"Quality",9,9,5
"Manufacturer",5,4,5
"Quality",9,4,5
"Manufacturer",5,4,5
"Quality",9,4,5
"Manufacturer",5,4,5
"Quality",9,4,5
"Manufacturer",5,4,5
"Quality",9,4,5
"Manufacturer",5,4,5
"Quality",9,4,5
"Manufacturer",5,1,5
"Quality",9,1,5
"Manufacturer",5,1,5
"Quality",9,1,5
"Manufacturer",5,9,5
"Quality",9,9,5
"Manufacturer",5,9,5
"Quality",9,9,5
"Manufacturer",5,9,5
"Quality",9,9,5
"Manufacturer",5,9,5
"Quality",9,9,5
"Manufacturer",5,9,5
"Quality",9,9,5
"Manufacturer",5,10,5
"Quality",9,10,5
"Manufacturer",5,4,5
"Quality",9,4,5
"Manufacturer",5,1,5
"Quality",9,1,5
"Manufacturer",5,1,5
"Quality",9,1,5
"Manufacturer",5,4,5
"Quality",9,4,5
"Manufacturer",5,6,5
"Quality",9,6,5
"Manufacturer",5,1,5
"Quality",9,1,5
"Manufacturer",5,9,5
"Quality",9,9,5
"Manufacturer",5,9,5
"Quality",9,9,5
"Manufacturer",5,10,5
"Quality",9,10,5
"Manufacturer",5,7,5
"Quality",9,7,5
"Manufacturer",5,8,5
"Quality",9,8,5
"Manufacturer",5,9,5
"Quality",9,9,5
"Manufacturer",5,8,5
"Quality",9,8,5
"Manufacturer",5,10,5
"Quality",9,10,5
"Manufacturer",5,4,5
"Quality",9,4,5
"Manufacturer",5,4,5
"Quality",9,4,5
"Manufacturer",5,4,5
"Quality",9,4,5
"Manufacturer",5,9,5
"Quality",9,9,5
"Manufacturer",5,9,5
"Quality",9,9,5
"Manufacturer",5,9,5
"Quality",9,9,5
"Manufacturer",5,9,5
"Quality",9,9,5
"Manufacturer",5,8,5
"Quality",9,8,5
"Manufacturer",5,1,5
"Quality",9,1,5
"Manufacturer",5,9,5
"Quality",9,9,5
"Manufacturer",5,9,5
"Quality",9,9,5
"Manufacturer",5,9,5
"Quality",9,9,5
"Manufacturer",5,1,5
"Quality",9,1,5
"Manufacturer",5,9,5
"Quality",9,9,5
"Manufacturer",5,10,5
"Quality",9,10,5
"Manufacturer",5,7,5
"Quality",9,7,5
"Manufacturer",5,4,5
"Quality",9,4,5
"Manufacturer",5,1,5
"Quality",9,1,5
"Manufacturer",5,9,5
"Quality",9,9,5
"Manufacturer",5,9,5
"Quality",9,9,5
"Manufacturer",5,10,5
"Quality",9,10,5
"Manufacturer",5,7,5
"Quality",9,7,5
"Manufacturer",5,1,5
"Quality",9,1,5
"Manufacturer",5,6,5
"Quality",9,6,5
"Manufacturer",5,1,5
"Quality",9,1,5
"Manufacturer",5,1,5
"Quality",9,1,5
"Manufacturer",5,9,5
"Quality",9,9,5
"Manufacturer",5,9,5
"Quality",9,9,5
"Manufacturer",5,9,5
"Quality",9,9,5
"Manufacturer",5,7,5
"Quality",9,7,5
"Manufacturer",5,4,5
"Quality",9,4,5
"Manufacturer",5,4,5
"Quality",9,4,5
"Manufacturer",5,1,5
"Quality",9,1,5
"Manufacturer",5,4,5
"Quality",9,4,5
"Manufacturer",5,6,5
"Quality",9,6,5
"Manufacturer",5,4,5
"Quality",9,4,5
"Manufacturer",5,6,5
"Quality",9,6,5
"Manufacturer",5,4,5
"Quality",9,4,5
"Manufacturer",5,4,5
"Quality",9,4,5
"Manufacturer",5,9,5
"Quality",9,9,5
"Manufacturer",5,10,5
"Quality",9,10,5
"Manufacturer",5,6,5
"Quality",9,6,5
"Manufacturer",5,1,5
"Quality",9,1,5
"Manufacturer",5,1,5
"Quality",9,1,5
"Manufacturer",5,1,5
"Quality",9,1,5
"Manufacturer",5,9,5
"Quality",9,9,5
"Manufacturer",5,10,5
"Quality",9,10,5
"Manufacturer",5,1,5
"Quality",9,1,5
"Manufacturer",5,1,5
"Quality",9,1,5
"Manufacturer",5,4,5
"Quality",9,4,5
"Manufacturer",5,9,5
"Quality",9,9,5
"Manufacturer",5,9,5
"Quality",9,9,5
"Manufacturer",5,9,5
"Quality",9,9,5
"Manufacturer",5,4,5
"Quality",9,4,5
"Manufacturer",5,6,5
"Quality",9,6,5
"Manufacturer",5,4,5
"Quality",9,4,5
"Manufacturer",5,9,5
"Quality",9,9,5
"Manufacturer",5,7,5
"Quality",9,7,5
"Manufacturer",5,1,5
"Quality",9,1,5
"Manufacturer",5,9,5
"Quality",9,9,5
"Manufacturer",5,9,5
"Quality",9,9,5
"Manufacturer",5,4,5
"Quality",9,4,5
"Manufacturer",5,4,5
"Quality",9,4,5
"Manufacturer",5,1,5
"Quality",9,1,5
"Manufacturer",5,9,5
"Quality",9,9,5
"Manufacturer",5,9,5
"Quality",9,9,5
"Manufacturer",5,9,5
"Quality",9,9,5
"Manufacturer",5,8,5
"Quality",9,8,5
"Manufacturer",5,4,5
"Quality",9,4,5
"Manufacturer",5,4,5
"Quality",9,4,5
"Manufacturer",5,4,5
"Quality",9,4,5
"Manufacturer",5,7,5
"Quality",9,7,5
"Manufacturer",5,8,5
"Quality",9,8,5
"Manufacturer",5,10,5
"Quality",9,10,5
"Manufacturer",5,1,5
"Quality",9,1,5
"Manufacturer",5,6,5
"Quality",9,6,5
"Manufacturer",5,9,5
"Quality",9,9,5
"Manufacturer",5,10,5
"Quality",9,10,5
"Manufacturer",5,1,5
"Quality",9,1,5
"Manufacturer",5,9,5
"Quality",9,9,5
"Manufacturer",5,9,5
"Quality",9,9,5
"Manufacturer",5,9,5
"Quality",9,9,5
"Manufacturer",5,8,5
"Quality",9,8,5
"Manufacturer",5,4,5
"Quality",9,4,5
"Manufacturer",5,1,5
"Quality",9,1,5
"Manufacturer",5,9,5
"Quality",9,9,5
"Manufacturer",5,9,5
"Quality",9,9,5
"Manufacturer",5,10,5
"Quality",9,10,5
"Manufacturer",5,8,5
"Quality",9,8,5
"Manufacturer",5,4,5
"Quality",9,4,5
"Manufacturer",5,1,5
"Quality",9,1,5
"Manufacturer",5,1,5
"Quality",9,1,5
"Manufacturer",5,4,5
"Quality",9,4,5
"Manufacturer",5,7,5
"Quality",9,7,5
"Manufacturer",5,4,5
"Quality",9,4,5
"Manufacturer",5,10,5
"Quality",9,10,5
"Manufacturer",5,4,5
"Quality",9,4,5
"Manufacturer",5,9,5
"Quality",9,9,5
"Manufacturer",5,9,5
"Quality",9,9,5
"Manufacturer",5,4,5
"Quality",9,4,5
"Manufacturer",5,9,5
"Quality",9,9,5
"Manufacturer",5,9,5
"Quality",9,9,5
"Manufacturer",5,9,5
"Quality",9,9,5
"Manufacturer",5,6,5
"Quality",9,6,5
"Manufacturer",5,7,5
"Quality",9,7,5
"Manufacturer",5,4,5
"Quality",9,4,5
"Manufacturer",5,1,5
"Quality",9,1,5
"Manufacturer",5,1,5
"Quality",9,1,5
"Manufacturer",5,6,5
"Quality",9,6,5
"Manufacturer",5,4,5
"Quality",9,4,5
"Manufacturer",5,1,5
"Quality",9,1,5
"Manufacturer",5,4,5
"Quality",9,4,5
"Manufacturer",5,6,5
"Quality",9,6,5
"Manufacturer",5,4,5
"Quality",9,4,5
"Manufacturer",5,6,5
"Quality",9,6,5
"Manufacturer",5,10,5
"Quality",9,10,5
"Manufacturer",5,9,5
"Quality",9,9,5
"Manufacturer",5,4,5
"Quality",9,4,5
"Manufacturer",5,1,5
"Quality",9,1,5
"Manufacturer",5,1,5
"Quality",9,1,5
"Manufacturer",5,9,5
"Quality",9,9,5
"Manufacturer",5,9,5
"Quality",9,9,5
"Manufacturer",5,1,5
"Quality",9,1,5
"Manufacturer",5,4,5
"Quality",9,4,5
"Manufacturer",5,6,5
"Quality",9,6,5
"Manufacturer",5,9,5
"Quality",9,9,5
"Manufacturer",5,9,5
"Quality",9,9,5
"Manufacturer",5,7,5
"Quality",9,7,5
"Manufacturer",5,1,5
"Quality",9,1,5
"Manufacturer",5,9,5
"Quality",9,9,5
"Manufacturer",5,10,5
"Quality",9,10,5
"Manufacturer",5,1,5
"Quality",9,1,5
"Manufacturer",5,6,5
"Quality",9,6,5
"Manufacturer",5,4,5
"Quality",9,4,5
"Manufacturer",5,9,5
"Quality",9,9,5
"Manufacturer",5,9,5
"Quality",9,9,5
"Manufacturer",5,7,5
"Quality",9,7,5
"Manufacturer",5,7,5
"Quality",9,7,5
"Manufacturer",5,4,5
"Quality",9,4,5
"Manufacturer",5,6,5
"Quality",9,6,5
"Manufacturer",5,4,5
"Quality",9,4,5
"Manufacturer",5,9,5
"Quality",9,9,5
"Manufacturer",5,9,5
"Quality",9,9,5
"Manufacturer",5,10,5
"Quality",9,10,5
"Manufacturer",5,4,5
"Quality",9,4,5
"Manufacturer",5,10,5
"Quality",9,10,5
"Manufacturer",5,1,5
"Quality",9,1,5
"Manufacturer",5,1,5
"Quality",9,1,5
"Manufacturer",5,9,5
"Quality",9,9,5
"Manufacturer",5,9,5
"Quality",9,9,5
"Manufacturer",5,9,5
"Quality",9,9,5
"Manufacturer",5,10,5
"Quality",9,10,5
"Manufacturer",5,9,5
"Quality",9,9,5
"Manufacturer",5,6,5
"Quality",9,6,5
"Manufacturer",5,9,5
"Quality",9,9,5
"Manufacturer",5,9,5
"Quality",9,9,5
"Manufacturer",5,9,5
"Quality",9,9,5
"Manufacturer",5,9,5
"Quality",9,9,5
"Manufacturer",5,4,5
"Quality",9,4,5
"Manufacturer",5,4,5
"Quality",9,4,5
"Manufacturer",5,4,5
"Quality",9,4,5
"Manufacturer",5,1,5
"Quality",9,1,5
"Manufacturer",5,9,5
"Quality",9,9,5
"Manufacturer",5,10,5
"Quality",9,10,5
"Manufacturer",5,10,5
"Quality",9,10,5
"Manufacturer",5,9,5
"Quality",9,9,5
"Manufacturer",5,10,5
"Quality",9,10,5
"Manufacturer",5,10,5
"Quality",9,10,5
"Manufacturer",5,10,5
"Quality",9,10,5
"Manufacturer",5,10,5
"Quality",9,10,5
"Manufacturer",5,1,5
"Quality",9,1,5
"Manufacturer",5,9,5
"Quality",9,9,5
"Manufacturer",5,10,5
"Quality",9,10,5
"Manufacturer",5,6,5
"Quality",9,6,5
"Manufacturer",5,4,5
"Quality",9,4,5
"Manufacturer",5,9,5
"Quality",9,9,5
"Manufacturer",5,9,5
"Quality",9,9,5
"Manufacturer",5,9,5
"Quality",9,9,5
"Manufacturer",5,10,5
"Quality",9,10,5
"Manufacturer",5,4,5
"Quality",9,4,5
"Manufacturer",5,4,5
"Quality",9,4,5
"Manufacturer",5,9,5
"Quality",9,9,5
"Manufacturer",5,9,5
"Quality",9,9,5
"Manufacturer",5,7,5
"Quality",9,7,5
"Manufacturer",5,4,5
"Quality",9,4,5
"Manufacturer",5,4,5
"Quality",9,4,5
"Manufacturer",5,4,5
"Quality",9,4,5
"Manufacturer",5,9,5
"Quality",9,9,5
"Manufacturer",5,9,5
"Quality",9,9,5
"Manufacturer",5,7,5
"Quality",9,7,5
"Manufacturer",5,1,5
"Quality",9,1,5
"Manufacturer",5,4,5
"Quality",9,4,5
"Manufacturer",5,1,5
"Quality",9,1,5
"Manufacturer",5,6,5
"Quality",9,6,5
"Manufacturer",5,1,5
"Quality",9,1,5
"Manufacturer",5,6,5
"Quality",9,6,5
"Manufacturer",5,9,5
"Quality",9,9,5
"Manufacturer",5,9,5
"Quality",9,9,5
"Manufacturer",5,9,5
"Quality",9,9,5
"Manufacturer",5,1,5
"Quality",9,1,5
"Manufacturer",5,9,5
"Quality",9,9,5
"Manufacturer",5,9,5
"Quality",9,9,5
"Manufacturer",5,1,5
"Quality",9,1,5
"Manufacturer",5,9,5
"Quality",9,9,5
"Manufacturer",5,9,5
"Quality",9,9,5
"Manufacturer",5,1,5
"Quality",9,1,5
"Manufacturer",5,4,5
"Quality",9,4,5
"Manufacturer",5,1,5
"Quality",9,1,5
"Manufacturer",5,9,5
"Quality",9,9,5
"Manufacturer",5,9,5
"Quality",9,9,5
"Manufacturer",5,10,5
"Quality",9,10,5
"Manufacturer",5,8,5
"Quality",9,8,5
"Manufacturer",5,6,5
"Quality",9,6,5
"Manufacturer",5,4,5
"Quality",9,4,5
"Manufacturer",5,4,5
"Quality",9,4,5
"Manufacturer",5,1,5
"Quality",9,1,5
"Manufacturer",5,9,5
"Quality",9,9,5
"Manufacturer",5,1,5
"Quality",9,1,5
"Manufacturer",5,1,5
"Quality",9,1,5
"Manufacturer",5,1,5
"Quality",9,1,5
"Manufacturer",5,4,5
"Quality",9,4,5
"Manufacturer",5,10,5
"Quality",9,10,5
"Manufacturer",5,6,5
"Quality",9,6,5
"Manufacturer",5,9,5
"Quality",9,9,5
"Manufacturer",5,9,5
"Quality",9,9,5
"Manufacturer",5,9,5
"Quality",9,9,5
"Manufacturer",5,7,5
"Quality",9,7,5
"Manufacturer",5,10,5
"Quality",9,10,5
"Manufacturer",5,6,5
"Quality",9,6,5
"Manufacturer",5,6,5
"Quality",9,6,5
"Manufacturer",5,9,5
"Quality",9,9,5
"Manufacturer",5,6,5
"Quality",9,6,5
"Manufacturer",5,4,5
"Quality",9,4,5
"Manufacturer",5,6,5
"Quality",9,6,5
"Manufacturer",5,6,5
"Quality",9,6,5
"Manufacturer",5,9,5
"Quality",9,9,5
"Manufacturer",5,9,5
"Quality",9,9,5
"Manufacturer",5,8,5
"Quality",9,8,5
"Manufacturer",5,10,5
"Quality",9,10,5
"Manufacturer",5,9,5
"Quality",9,9,5
"Manufacturer",5,9,5
"Quality",9,9,5
"Manufacturer",5,10,5
"Quality",9,10,5
"Manufacturer",5,6,5
"Quality",9,6,5
"Manufacturer",5,9,5
"Quality",9,9,5
"Manufacturer",5,10,5
"Quality",9,10,5
"Manufacturer",5,6,5
"Quality",9,6,5
"Manufacturer",5,6,5
"Quality",9,6,5
"Manufacturer",5,1,5
"Quality",9,1,5
"Manufacturer",5,9,5
"Quality",9,9,5
"Manufacturer",5,1,5
"Quality",9,1,5
"Manufacturer",5,4,5
"Quality",9,4,5
"Manufacturer",5,9,5
"Quality",9,9,5
"Manufacturer",5,9,5
"Quality",9,9,5
"Manufacturer",5,8,5
"Quality",9,8,5
"Manufacturer",5,4,5
"Quality",9,4,5
"Manufacturer",5,9,5
"Quality",9,9,5
"Manufacturer",5,10,5
"Quality",9,10,5
"Manufacturer",5,10,5
"Quality",9,10,5
"Manufacturer",5,9,5
"Quality",9,9,5
"Manufacturer",5,8,5
"Quality",9,8,5
"Manufacturer",5,10,5
"Quality",9,10,5
"Manufacturer",5,6,5
"Quality",9,6,5
"Manufacturer",5,1,5
"Quality",9,1,5
"Manufacturer",5,6,5
"Quality",9,6,5
"Manufacturer",5,4,5
"Quality",9,4,5
"Manufacturer",5,4,5
"Quality",9,4,5
"Manufacturer",5,9,5
"Quality",9,9,5
"Manufacturer",5,8,5
"Quality",9,8,5
"Manufacturer",5,6,5
"Quality",9,6,5
"Manufacturer",5,6,5
"Quality",9,6,5
"Manufacturer",5,4,5
"Quality",9,4,5
"Manufacturer",5,6,5
"Quality",9,6,5
"Manufacturer",5,6,5
"Quality",9,6,5
"Manufacturer",5,6,5
"Quality",9,6,5
"Manufacturer",5,9,5
"Quality",9,9,5
"Manufacturer",5,9,5
"Quality",9,9,5
"Manufacturer",5,9,5
"Quality",9,9,5
"Manufacturer",5,9,5
"Quality",9,9,5
"Manufacturer",5,6,5
"Quality",9,6,5
"Manufacturer",5,6,5
"Quality",9,6,5
"Manufacturer",5,10,5
"Quality",9,10,5
"Manufacturer",5,8,5
"Quality",9,8,5
"Manufacturer",5,6,5
"Quality",9,6,5
"Manufacturer",5,6,5
"Quality",9,6,5
"Manufacturer",5,6,5
"Quality",9,6,5
"Manufacturer",5,8,5
"Quality",9,8,5
"Manufacturer",5,7,5
"Quality",9,7,5
"Manufacturer",5,4,5
"Quality",9,4,5
"Manufacturer",5,6,5
"Quality",9,6,5
"Manufacturer",5,6,5
"Quality",9,6,5
"Manufacturer",5,1,5
"Quality",9,1,5
"Manufacturer",5,8,5
"Quality",9,8,5
"Manufacturer",5,1,5
"Quality",9,1,5
"Manufacturer",5,1,5
"Quality",9,1,5
"Manufacturer",5,4,5
"Quality",9,4,5
"Manufacturer",5,9,5
"Quality",9,9,5
"Manufacturer",5,9,5
"Quality",9,9,5
"Manufacturer",5,9,5
"Quality",9,9,5
"Manufacturer",5,8,5
"Quality",9,8,5
"Manufacturer",5,6,5
"Quality",9,6,5
"Manufacturer",5,4,5
"Quality",9,4,5
"Manufacturer",5,9,5
"Quality",9,9,5
"Manufacturer",5,7,5
"Quality",9,7,5
"Manufacturer",5,6,5
"Quality",9,6,5
"Manufacturer",5,8,5
"Quality",9,8,5
"Manufacturer",5,6,5
"Quality",9,6,5
"Manufacturer",5,6,5
"Quality",9,6,5
"Manufacturer",5,9,5
"Quality",9,9,5
"Manufacturer",5,9,5
"Quality",9,9,5
"Manufacturer",5,6,5
"Quality",9,6,5
"Manufacturer",5,6,5
"Quality",9,6,5
"Manufacturer",5,4,5
"Quality",9,4,5
"Manufacturer",5,9,5
"Quality",9,9,5
"Manufacturer",5,9,5
"Quality",9,9,5
"Manufacturer",5,6,5
"Quality",9,6,5
"Manufacturer",5,6,5
"Quality",9,6,5
"Manufacturer",5,1,5
"Quality",9,1,5
"Manufacturer",5,9,5
"Quality",9,9,5
"Manufacturer",5,9,5
"Quality",9,9,5
"Manufacturer",5,9,5
"Quality",9,9,5
"Manufacturer",5,9,5
"Quality",9,9,5
"Manufacturer",5,9,5
"Quality",9,9,5
"Manufacturer",5,8,5
"Quality",9,8,5
"Manufacturer",5,1,5
"Quality",9,1,5
"Manufacturer",5,9,5
"Quality",9,9,5
"Manufacturer",5,9,5
"Quality",9,9,5
"Manufacturer",5,9,5
"Quality",9,9,5
"Manufacturer",5,7,5
"Quality",9,7,5
"Manufacturer",5,8,5
"Quality",9,8,5
"Manufacturer",5,6,5
"Quality",9,6,5
"Manufacturer",5,4,5
"Quality",9,4,5
"Manufacturer",5,9,5
"Quality",9,9,5
"Manufacturer",5,9,5
"Quality",9,9,5
"Manufacturer",5,9,5
"Quality",9,9,5
"Manufacturer",5,6,5
"Quality",9,6,5
"Manufacturer",5,6,5
"Quality",9,6,5
"Manufacturer",5,9,5
"Quality",9,9,5
"Manufacturer",5,6,5
"Quality",9,6,5
"Manufacturer",5,6,5
"Quality",9,6,5
"Manufacturer",5,6,5
"Quality",9,6,5
"Manufacturer",5,6,5
"Quality",9,6,5
"Manufacturer",5,1,5
"Quality",9,1,5
"Manufacturer",5,6,5
"Quality",9,6,5
"Manufacturer",5,6,5
"Quality",9,6,5
"Manufacturer",5,9,5
"Quality",9,9,5
"Manufacturer",5,9,5
"Quality",9,9,5
"Manufacturer",5,9,5
"Quality",9,9,5
"Manufacturer",5,7,5
"Quality",9,7,5
"Manufacturer",5,8,5
"Quality",9,8,5
"Manufacturer",5,6,5
"Quality",9,6,5
"Manufacturer",5,7,5
"Quality",9,7,5
"Manufacturer",5,4,5
"Quality",9,4,5
"Manufacturer",5,6,5
"Quality",9,6,5
"Manufacturer",5,9,5
"Quality",9,9,5
"Manufacturer",5,8,5
"Quality",9,8,5
"Manufacturer",5,1,5
"Quality",9,1,5
"Manufacturer",5,6,5
"Quality",9,6,5
"Manufacturer",5,1,5
"Quality",9,1,5
"Manufacturer",5,7,5
"Quality",9,7,5
"Manufacturer",5,4,5
"Quality",9,4,5
"Manufacturer",5,4,5
"Quality",9,4,5
"Manufacturer",5,9,5
"Quality",9,9,5
"Manufacturer",5,9,5
"Quality",9,9,5
"Manufacturer",5,10,5
"Quality",9,10,5
"Manufacturer",5,1,5
"Quality",9,1,5
"Manufacturer",5,4,5
"Quality",9,4,5
"Manufacturer",5,9,5
"Quality",9,9,5
"Manufacturer",5,9,5
"Quality",9,9,5
"Manufacturer",5,7,5
"Quality",9,7,5
"Manufacturer",5,1,5
"Quality",9,1,5
"Manufacturer",5,1,5
"Quality",9,1,5
"Manufacturer",5,4,5
"Quality",9,4,5
"Manufacturer",5,9,5
"Quality",9,9,5
"Manufacturer",5,8,5
"Quality",9,8,5
"Manufacturer",5,1,5
"Quality",9,1,5
"Manufacturer",5,1,5
"Quality",9,1,5
"Manufacturer",5,8,5
"Quality",9,8,5
"Manufacturer",5,1,5
"Quality",9,1,5
"Manufacturer",5,6,5
"Quality",9,6,5
"Manufacturer",5,8,5
"Quality",9,8,5
"Manufacturer",5,10,5
"Quality",9,10,5
"Manufacturer",5,7,5
"Quality",9,7,5
"Manufacturer",5,9,5
"Quality",9,9,5
"Manufacturer",5,9,5
"Quality",9,9,5
"Manufacturer",5,8,5
"Quality",9,8,5
"Manufacturer",5,4,5
"Quality",9,4,5
"Manufacturer",5,4,5
"Quality",9,4,5
"Manufacturer",5,1,5
"Quality",9,1,5
"Manufacturer",5,9,5
"Quality",9,9,5
"Manufacturer",5,8,5
"Quality",9,8,5
"Manufacturer",5,9,5
"Quality",9,9,5
"Manufacturer",5,6,5
"Quality",9,6,5
"Manufacturer",5,1,5
"Quality",9,1,5
"Manufacturer",5,1,5
"Quality",9,1,5
"Manufacturer",5,9,5
"Quality",9,9,5
"Manufacturer",5,9,5
"Quality",9,9,5
"Manufacturer",5,6,5
"Quality",9,6,5
"Manufacturer",5,4,5
"Quality",9,4,5
"Manufacturer",5,8,5
"Quality",9,8,5
"Manufacturer",5,4,5
"Quality",9,4,5
"Manufacturer",5,9,5
"Quality",9,9,5
"Manufacturer",5,4,5
"Quality",9,4,5
"Manufacturer",5,6,5
"Quality",9,6,5
"Manufacturer",5,9,5
"Quality",9,9,5
"Manufacturer",5,4,5
"Quality",9,4,5
"Manufacturer",5,4,5
"Quality",9,4,5
"Manufacturer",5,1,5
"Quality",9,1,5
"Manufacturer",5,4,5
"Quality",9,4,5
"Manufacturer",5,9,5
"Quality",9,9,5
"Manufacturer",5,8,5
"Quality",9,8,5
"Manufacturer",5,9,5
"Quality",9,9,5
"Manufacturer",5,4,5
"Quality",9,4,5
"Manufacturer",5,4,5
"Quality",9,4,5
"Manufacturer",5,1,5
"Quality",9,1,5
"Manufacturer",5,4,5
"Quality",9,4,5
"Manufacturer",5,9,5
"Quality",9,9,5
"Manufacturer",5,9,5
"Quality",9,9,5
"Manufacturer",5,4,5
"Quality",9,4,5
"Manufacturer",5,4,5
"Quality",9,4,5
"Manufacturer",5,6,5
"Quality",9,6,5
"Manufacturer",5,9,5
"Quality",9,9,5
"Manufacturer",5,9,5
"Quality",9,9,5
"Manufacturer",5,8,5
"Quality",9,8,5
"Manufacturer",5,9,5
"Quality",9,9,5
"Manufacturer",5,9,5
"Quality",9,9,5
"Manufacturer",5,8,5
"Quality",9,8,5
"Manufacturer",5,10,5
"Quality",9,10,5
"Manufacturer",5,10,5
"Quality",9,10,5
"Manufacturer",5,4,5
"Quality",9,4,5
"Manufacturer",5,4,5
"Quality",9,4,5
"Manufacturer",5,4,5
"Quality",9,4,5
"Manufacturer",5,1,5
"Quality",9,1,5
"Manufacturer",5,4,5
"Quality",9,4,5
"Manufacturer",5,9,5
"Quality",9,9,5
"Manufacturer",5,8,5
"Quality",9,8,5
"Manufacturer",5,6,5
"Quality",9,6,5
"Manufacturer",5,4,5
"Quality",9,4,5
"Manufacturer",5,9,5
"Quality",9,9,5
"Manufacturer",5,9,5
"Quality",9,9,5
"Manufacturer",5,9,5
"Quality",9,9,5
"Manufacturer",5,9,5
"Quality",9,9,5
"Manufacturer",5,10,5
"Quality",9,10,5
"Manufacturer",5,4,5
"Quality",9,4,5
"Manufacturer",5,9,5
"Quality",9,9,5
"Manufacturer",5,9,5
"Quality",9,9,5
"Manufacturer",5,1,5
"Quality",9,1,5
"Manufacturer",5,4,5
"Quality",9,4,5
"Manufacturer",5,9,5
"Quality",9,9,5
"Manufacturer",5,4,5
"Quality",9,4,5
"Manufacturer",5,7,5
"Quality",9,7,5
"Manufacturer",5,8,5
"Quality",9,8,5
"Manufacturer",5,7,5
"Quality",9,7,5
"Manufacturer",5,8,5
"Quality",9,8,5
"Manufacturer",5,10,5
"Quality",9,10,5
"Manufacturer",5,4,5
"Quality",9,4,5
"Manufacturer",5,4,5
"Quality",9,4,5
"Manufacturer",5,4,5
"Quality",9,4,5
"Manufacturer",5,1,5
"Quality",9,1,5
"Manufacturer",5,9,5
"Quality",9,9,5
"Manufacturer",5,9,5
"Quality",9,9,5
"Manufacturer",5,9,5
"Quality",9,9,5
"Manufacturer",5,9,5
"Quality",9,9,5
"Manufacturer",5,9,5
"Quality",9,9,5
"Manufacturer",5,9,5
"Quality",9,9,5
"Manufacturer",5,9,5
"Quality",9,9,5
"Manufacturer",5,10,5
"Quality",9,10,5
"Manufacturer",5,6,5
"Quality",9,6,5
"Manufacturer",5,4,5
"Quality",9,4,5
"Manufacturer",5,8,5
"Quality",9,8,5
"Manufacturer",5,9,5
"Quality",9,9,5
"Manufacturer",5,9,5
"Quality",9,9,5
"Manufacturer",5,1,5
"Quality",9,1,5
"Manufacturer",5,4,5
"Quality",9,4,5
"Manufacturer",5,4,5
"Quality",9,4,5
"Manufacturer",5,7,5
"Quality",9,7,5
"Manufacturer",5,10,5
"Quality",9,10,5
"Manufacturer",5,4,5
"Quality",9,4,5
"Manufacturer",5,4,5
"Quality",9,4,5
"Manufacturer",5,4,5
"Quality",9,4,5
"Manufacturer",5,7,5
"Quality",9,7,5
"Manufacturer",5,9,5
"Quality",9,9,5
"Manufacturer",5,9,5
"Quality",9,9,5
